-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,d9516d04,31297557,dbd7e887,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,c7d688e3,320612b3,8d7bee00,6454b39c,9c1efcb4,NA,NA,NA,NA,NA
NA,NA,NA,NA,d79b2b7a,652199c8,4f49ad3f,98386532,f6bc8158,a6986951,4820ae83,NA,NA,NA,NA
NA,NA,NA,7e4ecda8,e0532913,ccb32b41,5a2936b0,cabee2ca,bcf74a5b,c3a3fdc8,3b64d7a6,65ba8dce,NA,NA,NA
NA,NA,NA,ef5bf03d,617900f2,9aecb72a,96c29b01,becdb78a,ec4727ea,3add7f0,7cbe4eb3,7bd38a67,NA,NA,NA
NA,NA,5620748c,12e137a,17522381,afd8c78d,30b6e04e,23e72df8,dcb52722,fb91add1,f95b5ce6,99f4efc4,5820c528,NA,NA
2d64afda,c0133f30,e3802f64,6ba1f200,3436bbfb,33fce117,ba413c,b89e7566,d21fcc92,414e267a,e35604a7,b857386d,a0f4a2ea,88ba7911,f571dc4e
