-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,b665c19f,9abdf3c0,4914662f,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5cde70f7,b0569bdd,ecbcf0f7,4cf1ff3a,4ce0bb39,NA,NA,NA,NA,NA
NA,NA,NA,NA,ade4cca7,d7d1307f,800c90a9,efabe909,b26685ae,247f8614,c4bd8404,NA,NA,NA,NA
NA,NA,NA,7498d89f,b5a23fc2,d6b9e67e,6b972a66,391efb6c,ae4b57a4,73be96aa,f80d31ba,838fdeaf,NA,NA,NA
NA,NA,NA,433b8b78,ea752973,8ba8c2ef,88765bba,d7acb3ea,70c3e5f7,f9143ab,1bd1fd9,9540896c,NA,NA,NA
NA,NA,f71d67fa,4dc6f88a,3da2291a,cf1b613c,25d329fd,3079362,6ca3d716,fde1ccd2,23102ae3,1cc42551,36276807,NA,NA
626c733a,bb9fbca,a4d4e6a3,1f5666b,44883dbd,39da6751,d77d507c,3e5f44ef,f40cc7d1,f168d2f4,93b61a1e,57c70d13,f25ce0cc,6d99300b,103333d
