-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,8ba8c2ef,ade4cca7,b26685ae,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ecbcf0f7,6ca3d716,a4d4e6a3,f9143ab,6b972a66,NA,NA,NA,NA,NA
NA,NA,NA,NA,39da6751,25d329fd,d6b9e67e,cf1b613c,d77d507c,1cc42551,b5a23fc2,NA,NA,NA,NA
NA,NA,NA,d7acb3ea,3da2291a,ea752973,3e5f44ef,44883dbd,b0569bdd,626c733a,1bd1fd9,bb9fbca,NA,NA,NA
NA,NA,NA,9540896c,73be96aa,d7d1307f,391efb6c,4914662f,4ce0bb39,f71d67fa,4dc6f88a,433b8b78,NA,NA,NA
NA,NA,f25ce0cc,247f8614,efabe909,5cde70f7,b665c19f,1f5666b,800c90a9,4cf1ff3a,36276807,f80d31ba,c4bd8404,NA,NA
f168d2f4,7498d89f,93b61a1e,57c70d13,838fdeaf,23102ae3,70c3e5f7,3079362,ae4b57a4,9abdf3c0,fde1ccd2,88765bba,f40cc7d1,103333d,6d99300b
