-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,ae4b57a4,1f5666b,3da2291a,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1bd1fd9,b5a23fc2,9abdf3c0,ade4cca7,ecbcf0f7,NA,NA,NA,NA,NA
NA,NA,NA,NA,ea752973,b665c19f,a4d4e6a3,800c90a9,44883dbd,93b61a1e,3079362,NA,NA,NA,NA
NA,NA,NA,3e5f44ef,7498d89f,cf1b613c,5cde70f7,4914662f,f71d67fa,f80d31ba,b0569bdd,b26685ae,NA,NA,NA
NA,NA,NA,4cf1ff3a,bb9fbca,247f8614,4ce0bb39,36276807,d7acb3ea,f9143ab,d6b9e67e,f25ce0cc,NA,NA,NA
NA,NA,626c733a,23102ae3,6ca3d716,f40cc7d1,70c3e5f7,103333d,9540896c,39da6751,f168d2f4,6d99300b,6b972a66,NA,NA
73be96aa,4dc6f88a,838fdeaf,fde1ccd2,d77d507c,8ba8c2ef,d7d1307f,57c70d13,391efb6c,88765bba,25d329fd,433b8b78,c4bd8404,efabe909,1cc42551
