-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,ccb32b41,4820ae83,f571dc4e,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,8d7bee00,98386532,becdb78a,f6bc8158,31297557,NA,NA,NA,NA,NA
NA,NA,NA,NA,e0532913,d9516d04,12e137a,c7d688e3,c3a3fdc8,fb91add1,e35604a7,NA,NA,NA,NA
NA,NA,NA,2d64afda,17522381,7e4ecda8,99f4efc4,30b6e04e,414e267a,5620748c,bcf74a5b,a0f4a2ea,NA,NA,NA
NA,NA,NA,33fce117,652199c8,afd8c78d,23e72df8,5a2936b0,3b64d7a6,dcb52722,3add7f0,88ba7911,NA,NA,NA
NA,NA,617900f2,ef5bf03d,96c29b01,d79b2b7a,cabee2ca,320612b3,4f49ad3f,f95b5ce6,9aecb72a,65ba8dce,b857386d,NA,NA
3436bbfb,e3802f64,dbd7e887,b89e7566,ba413c,c0133f30,6ba1f200,ec4727ea,6454b39c,d21fcc92,5820c528,9c1efcb4,7cbe4eb3,a6986951,7bd38a67
