-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,f95b5ce6,f6bc8158,31297557,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,6ba1f200,617900f2,2d64afda,4820ae83,fb91add1,NA,NA,NA,NA,NA
NA,NA,NA,NA,8d7bee00,5620748c,cabee2ca,17522381,65ba8dce,d9516d04,33fce117,NA,NA,NA,NA
NA,NA,NA,12e137a,a6986951,b89e7566,23e72df8,ccb32b41,7e4ecda8,ba413c,ef5bf03d,c7d688e3,NA,NA,NA
NA,NA,NA,320612b3,ec4727ea,98386532,9c1efcb4,5820c528,b857386d,dcb52722,3436bbfb,c3a3fdc8,NA,NA,NA
NA,NA,414e267a,becdb78a,dbd7e887,a0f4a2ea,7cbe4eb3,652199c8,4f49ad3f,88ba7911,5a2936b0,c0133f30,f571dc4e,NA,NA
99f4efc4,d21fcc92,30b6e04e,6454b39c,bcf74a5b,e0532913,9aecb72a,96c29b01,e35604a7,afd8c78d,3add7f0,3b64d7a6,e3802f64,7bd38a67,d79b2b7a
