-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
,,,,,,652199c8,414e267a,ec4727ea,,,,,,
,,,,,e0532913,31297557,6ba1f200,a6986951,afd8c78d,,,,,
,,,,b89e7566,f6bc8158,5820c528,7cbe4eb3,d9516d04,4f49ad3f,dbd7e887,,,,
,,,12e137a,f95b5ce6,a0f4a2ea,23e72df8,d79b2b7a,3add7f0,c7d688e3,7bd38a67,f571dc4e,,,
,,,320612b3,96c29b01,ef5bf03d,cabee2ca,d21fcc92,bcf74a5b,3436bbfb,b857386d,17522381,,,
,,ba413c,7e4ecda8,8d7bee00,becdb78a,4820ae83,617900f2,6454b39c,fb91add1,c3a3fdc8,5a2936b0,dcb52722,,
33fce117,e3802f64,99f4efc4,c0133f30,30b6e04e,2d64afda,e35604a7,5620748c,9aecb72a,3b64d7a6,98386532,9c1efcb4,65ba8dce,ccb32b41,88ba7911
