-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,dbd7e887,b857386d,f571dc4e,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,bcf74a5b,3add7f0,becdb78a,5820c528,96c29b01,NA,NA,NA,NA,NA
NA,NA,NA,NA,afd8c78d,d21fcc92,6ba1f200,ec4727ea,b89e7566,3b64d7a6,c3a3fdc8,NA,NA,NA,NA
NA,NA,NA,652199c8,ef5bf03d,320612b3,7cbe4eb3,8d7bee00,7e4ecda8,a0f4a2ea,88ba7911,4820ae83,NA,NA,NA
NA,NA,NA,5620748c,9c1efcb4,617900f2,30b6e04e,e0532913,31297557,4f49ad3f,65ba8dce,c7d688e3,NA,NA,NA
NA,NA,5a2936b0,c0133f30,f95b5ce6,d9516d04,17522381,fb91add1,9aecb72a,dcb52722,cabee2ca,3436bbfb,414e267a,NA,NA
e3802f64,12e137a,e35604a7,d79b2b7a,33fce117,2d64afda,ba413c,23e72df8,6454b39c,ccb32b41,98386532,a6986951,99f4efc4,f6bc8158,7bd38a67
