-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,247f8614,d6b9e67e,f9143ab,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,838fdeaf,ecbcf0f7,800c90a9,103333d,8ba8c2ef,NA,NA,NA,NA,NA
NA,NA,NA,NA,57c70d13,3da2291a,fde1ccd2,9abdf3c0,ea752973,b5a23fc2,36276807,NA,NA,NA,NA
NA,NA,NA,93b61a1e,cf1b613c,4914662f,1bd1fd9,f80d31ba,25d329fd,1f5666b,c4bd8404,f40cc7d1,NA,NA,NA
NA,NA,NA,b0569bdd,f71d67fa,5cde70f7,70c3e5f7,b26685ae,626c733a,3e5f44ef,88765bba,efabe909,NA,NA,NA
NA,NA,f25ce0cc,ade4cca7,4ce0bb39,391efb6c,a4d4e6a3,bb9fbca,d7d1307f,44883dbd,6ca3d716,f168d2f4,6b972a66,NA,NA
73be96aa,ae4b57a4,7498d89f,4dc6f88a,4cf1ff3a,39da6751,d7acb3ea,b665c19f,3079362,9540896c,d77d507c,23102ae3,1cc42551,433b8b78,6d99300b
