-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,31297557,e35604a7,b89e7566,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,fb91add1,3add7f0,c7d688e3,a0f4a2ea,96c29b01,NA,NA,NA,NA,NA
NA,NA,NA,NA,ec4727ea,d21fcc92,bcf74a5b,23e72df8,dcb52722,c3a3fdc8,3b64d7a6,NA,NA,NA,NA
NA,NA,NA,becdb78a,ccb32b41,12e137a,5820c528,b857386d,a6986951,2d64afda,f6bc8158,3436bbfb,NA,NA,NA
NA,NA,NA,8d7bee00,99f4efc4,7cbe4eb3,652199c8,d79b2b7a,d9516d04,afd8c78d,cabee2ca,e3802f64,NA,NA,NA
NA,NA,320612b3,6454b39c,6ba1f200,4f49ad3f,dbd7e887,9c1efcb4,414e267a,88ba7911,c0133f30,98386532,17522381,NA,NA
5620748c,617900f2,30b6e04e,5a2936b0,e0532913,33fce117,f95b5ce6,ba413c,9aecb72a,4820ae83,65ba8dce,7e4ecda8,ef5bf03d,f571dc4e,Mit meinem Wissen über die Zukunft ein paar lukrative Insiderhandel an der Börse planen.
