-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,5820c528,12e137a,4820ae83,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,afd8c78d,3add7f0,ccb32b41,dcb52722,fb91add1,NA,NA,NA,NA,NA
NA,NA,NA,NA,6ba1f200,9c1efcb4,652199c8,9aecb72a,a0f4a2ea,3436bbfb,d79b2b7a,NA,NA,NA,NA
NA,NA,NA,320612b3,6454b39c,a6986951,b857386d,e35604a7,ba413c,7e4ecda8,f571dc4e,3b64d7a6,NA,NA,NA
NA,NA,NA,7cbe4eb3,bcf74a5b,33fce117,e3802f64,becdb78a,5620748c,617900f2,88ba7911,96c29b01,NA,NA,NA
NA,NA,30b6e04e,ef5bf03d,dbd7e887,31297557,98386532,b89e7566,d9516d04,e0532913,7bd38a67,c3a3fdc8,c7d688e3,NA,NA
8d7bee00,5a2936b0,99f4efc4,cabee2ca,ec4727ea,d21fcc92,f95b5ce6,23e72df8,414e267a,f6bc8158,4f49ad3f,65ba8dce,2d64afda,c0133f30,17522381
