-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,7e4ecda8,23e72df8,320612b3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,8d7bee00,f6bc8158,99f4efc4,bcf74a5b,9aecb72a,NA,NA,NA,NA,NA
NA,NA,NA,NA,12e137a,30b6e04e,d9516d04,becdb78a,dcb52722,3436bbfb,6454b39c,NA,NA,NA,NA
NA,NA,NA,617900f2,414e267a,ccb32b41,98386532,e0532913,5620748c,5a2936b0,7cbe4eb3,5820c528,NA,NA,NA
NA,NA,NA,ef5bf03d,e35604a7,3add7f0,fb91add1,6ba1f200,4f49ad3f,9c1efcb4,ec4727ea,4820ae83,NA,NA,NA
NA,NA,2d64afda,33fce117,ba413c,c7d688e3,96c29b01,f95b5ce6,65ba8dce,dbd7e887,b89e7566,b857386d,f571dc4e,NA,NA
e3802f64,17522381,652199c8,c0133f30,d79b2b7a,afd8c78d,cabee2ca,31297557,d21fcc92,88ba7911,7bd38a67,a6986951,a0f4a2ea,3b64d7a6,c3a3fdc8
