-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,96c29b01,dcb52722,320612b3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,d79b2b7a,2d64afda,7cbe4eb3,99f4efc4,e35604a7,NA,NA,NA,NA,NA
NA,NA,NA,NA,e0532913,12e137a,ef5bf03d,9c1efcb4,33fce117,4f49ad3f,dbd7e887,NA,NA,NA,NA
NA,NA,NA,8d7bee00,7bd38a67,afd8c78d,ccb32b41,f95b5ce6,e3802f64,5a2936b0,a0f4a2ea,a6986951,NA,NA,NA
NA,NA,NA,becdb78a,b857386d,cabee2ca,7e4ecda8,d9516d04,ba413c,c0133f30,9aecb72a,fb91add1,NA,NA,NA
NA,NA,30b6e04e,17522381,414e267a,f6bc8158,c3a3fdc8,23e72df8,3436bbfb,b89e7566,65ba8dce,f571dc4e,5820c528,NA,NA
bcf74a5b,6ba1f200,5620748c,d21fcc92,617900f2,6454b39c,652199c8,98386532,ec4727ea,4820ae83,3add7f0,88ba7911,3b64d7a6,c7d688e3,31297557
