-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,4f49ad3f,5820c528,617900f2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,96c29b01,3b64d7a6,23e72df8,bcf74a5b,5620748c,NA,NA,NA,NA,NA
NA,NA,NA,NA,99f4efc4,414e267a,ccb32b41,becdb78a,9c1efcb4,652199c8,5a2936b0,NA,NA,NA,NA
NA,NA,NA,3add7f0,a6986951,c7d688e3,6454b39c,ec4727ea,ef5bf03d,7bd38a67,17522381,fb91add1,NA,NA,NA
NA,NA,NA,8d7bee00,dcb52722,cabee2ca,f571dc4e,30b6e04e,afd8c78d,f6bc8158,7e4ecda8,e35604a7,NA,NA,NA
NA,NA,e3802f64,320612b3,b89e7566,98386532,9aecb72a,6ba1f200,f95b5ce6,d9516d04,3436bbfb,a0f4a2ea,4820ae83,NA,NA
33fce117,ba413c,c0133f30,12e137a,e0532913,88ba7911,31297557,dbd7e887,d79b2b7a,7cbe4eb3,2d64afda,b857386d,c3a3fdc8,65ba8dce,d21fcc92
