-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,7e4ecda8,3b64d7a6,f95b5ce6,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,96c29b01,e0532913,a6986951,31297557,d9516d04,NA,NA,NA,NA,NA
NA,NA,NA,NA,ef5bf03d,b89e7566,3add7f0,6ba1f200,65ba8dce,9aecb72a,9c1efcb4,NA,NA,NA,NA
NA,NA,NA,3436bbfb,f6bc8158,becdb78a,afd8c78d,cabee2ca,6454b39c,ccb32b41,88ba7911,17522381,NA,NA,NA
NA,NA,NA,33fce117,99f4efc4,e35604a7,d21fcc92,5a2936b0,4820ae83,dcb52722,c7d688e3,ec4727ea,NA,NA,NA
NA,NA,2d64afda,c0133f30,8d7bee00,414e267a,fb91add1,bcf74a5b,652199c8,4f49ad3f,7cbe4eb3,b857386d,d79b2b7a,NA,NA
e3802f64,12e137a,5620748c,ba413c,30b6e04e,617900f2,320612b3,5820c528,a0f4a2ea,23e72df8,dbd7e887,98386532,c3a3fdc8,7bd38a67,f571dc4e
