-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,617900f2,88ba7911,4f49ad3f,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,7bd38a67,bcf74a5b,ccb32b41,b89e7566,96c29b01,NA,NA,NA,NA,NA
NA,NA,NA,NA,2d64afda,e0532913,afd8c78d,6ba1f200,99f4efc4,d9516d04,65ba8dce,NA,NA,NA,NA
NA,NA,NA,31297557,6454b39c,c7d688e3,5a2936b0,c3a3fdc8,9aecb72a,f95b5ce6,c0133f30,b857386d,NA,NA,NA
NA,NA,NA,23e72df8,7e4ecda8,d21fcc92,dbd7e887,3add7f0,d79b2b7a,3b64d7a6,3436bbfb,ba413c,NA,NA,NA
NA,NA,320612b3,dcb52722,12e137a,becdb78a,f6bc8158,a6986951,98386532,cabee2ca,33fce117,414e267a,17522381,NA,NA
NA,5620748c,30b6e04e,4820ae83,fb91add1,5820c528,ef5bf03d,7cbe4eb3,e35604a7,8d7bee00,a0f4a2ea,ec4727ea,9c1efcb4,f571dc4e,e3802f64
