-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,cf1b613c,3da2291a,ae4b57a4,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,247f8614,8ba8c2ef,3e5f44ef,efabe909,a4d4e6a3,NA,NA,NA,NA,NA
NA,NA,NA,NA,7498d89f,9540896c,9abdf3c0,838fdeaf,73be96aa,f40cc7d1,433b8b78,NA,NA,NA,NA
NA,NA,NA,6b972a66,f168d2f4,ade4cca7,5cde70f7,b5a23fc2,b665c19f,fde1ccd2,93b61a1e,f25ce0cc,NA,NA,NA
NA,NA,NA,c4bd8404,800c90a9,ecbcf0f7,103333d,44883dbd,36276807,d6b9e67e,4ce0bb39,391efb6c,NA,NA,NA
NA,NA,1bd1fd9,1cc42551,23102ae3,f80d31ba,4914662f,1f5666b,6d99300b,bb9fbca,f71d67fa,d7d1307f,f9143ab,NA,NA
57c70d13,39da6751,4cf1ff3a,b0569bdd,ea752973,25d329fd,626c733a,88765bba,d7acb3ea,70c3e5f7,3079362,6ca3d716,b26685ae,d77d507c,4dc6f88a
