-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,57c70d13,1cc42551,93b61a1e,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,9abdf3c0,3e5f44ef,4dc6f88a,23102ae3,800c90a9,NA,NA,NA,NA,NA
NA,NA,NA,NA,9540896c,f25ce0cc,5cde70f7,b0569bdd,391efb6c,44883dbd,39da6751,NA,NA,NA,NA
NA,NA,NA,4cf1ff3a,7498d89f,247f8614,6ca3d716,73be96aa,4914662f,8ba8c2ef,3da2291a,d7acb3ea,NA,NA,NA
NA,NA,NA,f9143ab,d7d1307f,838fdeaf,ea752973,88765bba,b665c19f,25d329fd,efabe909,1f5666b,NA,NA,NA
NA,NA,ae4b57a4,ade4cca7,3079362,4ce0bb39,36276807,fde1ccd2,433b8b78,103333d,d77d507c,b5a23fc2,f168d2f4,NA,NA
626c733a,f71d67fa,a4d4e6a3,70c3e5f7,f80d31ba,bb9fbca,c4bd8404,cf1b613c,b26685ae,6d99300b,1bd1fd9,f40cc7d1,ecbcf0f7,d6b9e67e,6b972a66
