-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,30b6e04e,f6bc8158,a0f4a2ea,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,7bd38a67,6454b39c,8d7bee00,d9516d04,9c1efcb4,NA,NA,NA,NA,NA
NA,NA,NA,NA,17522381,6ba1f200,ba413c,23e72df8,9aecb72a,31297557,dcb52722,NA,NA,NA,NA
NA,NA,NA,ef5bf03d,f95b5ce6,414e267a,bcf74a5b,98386532,88ba7911,99f4efc4,4820ae83,c3a3fdc8,NA,NA,NA
NA,NA,NA,33fce117,320612b3,652199c8,cabee2ca,5620748c,7cbe4eb3,e0532913,a6986951,3add7f0,NA,NA,NA
NA,NA,2d64afda,c0133f30,f571dc4e,ccb32b41,d21fcc92,5a2936b0,617900f2,65ba8dce,dbd7e887,ec4727ea,4f49ad3f,NA,NA
e3802f64,12e137a,3436bbfb,3b64d7a6,c7d688e3,7e4ecda8,becdb78a,5820c528,96c29b01,b89e7566,fb91add1,afd8c78d,e35604a7,b857386d,d79b2b7a
