-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,e35604a7,98386532,88ba7911,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,9aecb72a,ef5bf03d,afd8c78d,b857386d,65ba8dce,NA,NA,NA,NA,NA
NA,NA,NA,NA,d9516d04,4f49ad3f,31297557,320612b3,f6bc8158,7bd38a67,4820ae83,NA,NA,NA,NA
NA,NA,NA,cabee2ca,17522381,e3802f64,414e267a,5a2936b0,9c1efcb4,b89e7566,ec4727ea,99f4efc4,NA,NA,NA
NA,NA,NA,3436bbfb,5620748c,fb91add1,96c29b01,7e4ecda8,652199c8,3add7f0,c7d688e3,c3a3fdc8,NA,NA,NA
NA,NA,33fce117,ccb32b41,bcf74a5b,e0532913,12e137a,d79b2b7a,7cbe4eb3,becdb78a,6ba1f200,dcb52722,a6986951,NA,NA
8d7bee00,2d64afda,617900f2,f95b5ce6,3b64d7a6,30b6e04e,23e72df8,d21fcc92,dbd7e887,6454b39c,ba413c,c0133f30,5820c528,f571dc4e,a0f4a2ea
