-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,4914662f,3079362,b5a23fc2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,247f8614,1bd1fd9,b26685ae,4dc6f88a,c4bd8404,NA,NA,NA,NA,NA
NA,NA,NA,NA,800c90a9,efabe909,b665c19f,433b8b78,f71d67fa,9abdf3c0,88765bba,NA,NA,NA,NA
NA,NA,NA,39da6751,9540896c,ade4cca7,103333d,cf1b613c,d7d1307f,d77d507c,f80d31ba,ea752973,NA,NA,NA
NA,NA,NA,d7acb3ea,a4d4e6a3,44883dbd,1f5666b,6d99300b,ecbcf0f7,f40cc7d1,36276807,fde1ccd2,NA,NA,NA
NA,NA,7498d89f,b0569bdd,838fdeaf,3da2291a,ae4b57a4,4ce0bb39,73be96aa,6ca3d716,4cf1ff3a,f9143ab,6b972a66,NA,NA
f168d2f4,57c70d13,23102ae3,93b61a1e,5cde70f7,1cc42551,25d329fd,f25ce0cc,8ba8c2ef,3e5f44ef,626c733a,391efb6c,bb9fbca,d6b9e67e,70c3e5f7
