-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,6454b39c,d21fcc92,b89e7566,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,9c1efcb4,a6986951,617900f2,23e72df8,5a2936b0,NA,NA,NA,NA,NA
NA,NA,NA,NA,ef5bf03d,17522381,e35604a7,6ba1f200,65ba8dce,e3802f64,31297557,NA,NA,NA,NA
NA,NA,NA,cabee2ca,f95b5ce6,3add7f0,30b6e04e,33fce117,ccb32b41,96c29b01,becdb78a,c7d688e3,NA,NA,NA
NA,NA,NA,3436bbfb,afd8c78d,ba413c,5620748c,98386532,dcb52722,5820c528,f6bc8158,c3a3fdc8,NA,NA,NA
NA,NA,7cbe4eb3,bcf74a5b,12e137a,3b64d7a6,dbd7e887,414e267a,b857386d,fb91add1,7bd38a67,88ba7911,a0f4a2ea,NA,NA
8d7bee00,99f4efc4,e0532913,ec4727ea,7e4ecda8,320612b3,652199c8,4820ae83,d9516d04,4f49ad3f,9aecb72a,f571dc4e,d79b2b7a,c0133f30,2d64afda
