-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,d9516d04,9c1efcb4,7bd38a67,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2d64afda,4f49ad3f,dcb52722,d21fcc92,e35604a7,NA,NA,NA,NA,NA
NA,NA,NA,NA,414e267a,33fce117,afd8c78d,c3a3fdc8,a6986951,4820ae83,f6bc8158,NA,NA,NA,NA
NA,NA,NA,dbd7e887,7e4ecda8,ec4727ea,652199c8,23e72df8,3add7f0,f571dc4e,9aecb72a,88ba7911,NA,NA,NA
NA,NA,NA,e3802f64,d79b2b7a,320612b3,3436bbfb,6ba1f200,b857386d,bcf74a5b,8d7bee00,cabee2ca,NA,NA,NA
NA,NA,617900f2,12e137a,99f4efc4,7cbe4eb3,17522381,31297557,becdb78a,65ba8dce,98386532,c7d688e3,5a2936b0,NA,NA
5620748c,c0133f30,f95b5ce6,e0532913,ba413c,30b6e04e,ccb32b41,b89e7566,6454b39c,96c29b01,3b64d7a6,5820c528,a0f4a2ea,fb91add1,ef5bf03d
