-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,9c1efcb4,6ba1f200,17522381,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,320612b3,7cbe4eb3,e35604a7,30b6e04e,5a2936b0,NA,NA,NA,NA,NA
NA,NA,NA,NA,afd8c78d,ccb32b41,f95b5ce6,65ba8dce,5820c528,4f49ad3f,b89e7566,NA,NA,NA,NA
NA,NA,NA,3436bbfb,5620748c,7e4ecda8,dcb52722,3add7f0,a0f4a2ea,4820ae83,b857386d,c7d688e3,NA,NA,NA
NA,NA,NA,2d64afda,ef5bf03d,96c29b01,bcf74a5b,a6986951,dbd7e887,6454b39c,c3a3fdc8,88ba7911,NA,NA,NA
NA,NA,12e137a,33fce117,99f4efc4,414e267a,23e72df8,fb91add1,cabee2ca,8d7bee00,98386532,31297557,d79b2b7a,NA,NA
e3802f64,c0133f30,617900f2,ba413c,e0532913,f6bc8158,d9516d04,d21fcc92,9aecb72a,becdb78a,3b64d7a6,652199c8,7bd38a67,ec4727ea,f571dc4e
