-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,70c3e5f7,4914662f,6b972a66,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ecbcf0f7,3e5f44ef,800c90a9,ea752973,f71d67fa,NA,NA,NA,NA,NA
NA,NA,NA,NA,4dc6f88a,1f5666b,cf1b613c,626c733a,25d329fd,88765bba,c4bd8404,NA,NA,NA,NA
NA,NA,NA,73be96aa,1cc42551,f9143ab,23102ae3,9abdf3c0,b665c19f,b5a23fc2,3079362,b26685ae,NA,NA,NA
NA,NA,NA,39da6751,b0569bdd,4cf1ff3a,391efb6c,d7d1307f,8ba8c2ef,d6b9e67e,36276807,4ce0bb39,NA,NA,NA
NA,NA,57c70d13,93b61a1e,9540896c,ade4cca7,a4d4e6a3,5cde70f7,3da2291a,6ca3d716,433b8b78,fde1ccd2,1bd1fd9,NA,NA
f25ce0cc,f168d2f4,7498d89f,247f8614,d7acb3ea,ae4b57a4,d77d507c,838fdeaf,efabe909,44883dbd,f80d31ba,bb9fbca,f40cc7d1,103333d,6d99300b
