-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,31297557,afd8c78d,f95b5ce6,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,dbd7e887,9c1efcb4,cabee2ca,7cbe4eb3,17522381,NA,NA,NA,NA,NA
NA,NA,NA,NA,7e4ecda8,bcf74a5b,fb91add1,4820ae83,c7d688e3,d21fcc92,33fce117,NA,NA,NA,NA
NA,NA,NA,d9516d04,f6bc8158,d79b2b7a,ccb32b41,6454b39c,c3a3fdc8,4f49ad3f,3436bbfb,ba413c,NA,NA,NA
NA,NA,NA,96c29b01,30b6e04e,5a2936b0,23e72df8,88ba7911,ec4727ea,6ba1f200,e3802f64,ef5bf03d,NA,NA,NA
NA,NA,c0133f30,b89e7566,320612b3,becdb78a,e0532913,414e267a,3b64d7a6,9aecb72a,98386532,65ba8dce,a0f4a2ea,NA,NA
5620748c,617900f2,e35604a7,12e137a,652199c8,8d7bee00,dcb52722,3add7f0,b857386d,99f4efc4,a6986951,5820c528,2d64afda,7bd38a67,f571dc4e
