-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,b89e7566,65ba8dce,dbd7e887,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,98386532,17522381,ccb32b41,f95b5ce6,4820ae83,NA,NA,NA,NA,NA
NA,NA,NA,NA,e0532913,afd8c78d,4f49ad3f,d79b2b7a,becdb78a,c0133f30,617900f2,NA,NA,NA,NA
NA,NA,NA,3436bbfb,5a2936b0,9aecb72a,23e72df8,31297557,e35604a7,9c1efcb4,2d64afda,c3a3fdc8,NA,NA,NA
NA,NA,NA,e3802f64,5820c528,7e4ecda8,ef5bf03d,652199c8,414e267a,b857386d,3add7f0,99f4efc4,NA,NA,NA
NA,NA,320612b3,6454b39c,8d7bee00,cabee2ca,96c29b01,7cbe4eb3,f6bc8158,d21fcc92,3b64d7a6,fb91add1,c7d688e3,NA,NA
12e137a,ba413c,30b6e04e,33fce117,bcf74a5b,6ba1f200,a0f4a2ea,f571dc4e,5620748c,ec4727ea,d9516d04,7bd38a67,dcb52722,a6986951,88ba7911
