-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,96c29b01,31297557,414e267a,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,dcb52722,ec4727ea,cabee2ca,ccb32b41,d9516d04,NA,NA,NA,NA,NA
NA,NA,NA,NA,2d64afda,b857386d,afd8c78d,f95b5ce6,23e72df8,fb91add1,d21fcc92,NA,NA,NA,NA
NA,NA,NA,30b6e04e,12e137a,9c1efcb4,7cbe4eb3,f6bc8158,e3802f64,6454b39c,17522381,320612b3,NA,NA,NA
NA,NA,NA,99f4efc4,b89e7566,88ba7911,3add7f0,5820c528,e0532913,c7d688e3,4f49ad3f,c3a3fdc8,NA,NA,NA
NA,NA,5620748c,3436bbfb,7e4ecda8,8d7bee00,65ba8dce,a6986951,bcf74a5b,dbd7e887,3b64d7a6,617900f2,7bd38a67,NA,NA
5a2936b0,c0133f30,d79b2b7a,ba413c,98386532,6ba1f200,becdb78a,652199c8,33fce117,e35604a7,ef5bf03d,4820ae83,a0f4a2ea,9aecb72a,f571dc4e
