-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
,,,,,,e3802f64,d21fcc92,96c29b01,,,,,,
,,,,,e0532913,a0f4a2ea,414e267a,5820c528,f571dc4e,,,,,
,,,,becdb78a,cabee2ca,b89e7566,9aecb72a,a6986951,7e4ecda8,ccb32b41,,,,
,,,30b6e04e,3436bbfb,6ba1f200,ef5bf03d,3add7f0,7cbe4eb3,e35604a7,8d7bee00,f6bc8158,,,
,,,f95b5ce6,2d64afda,5620748c,afd8c78d,b857386d,3b64d7a6,d9516d04,c7d688e3,dbd7e887,,,
,,617900f2,6454b39c,4820ae83,d79b2b7a,bcf74a5b,99f4efc4,31297557,4f49ad3f,fb91add1,5a2936b0,7bd38a67,,
c0133f30,ba413c,12e137a,33fce117,98386532,ec4727ea,320612b3,9c1efcb4,652199c8,23e72df8,17522381,c3a3fdc8,88ba7911,dcb52722,65ba8dce
