-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,ccb32b41,17522381,6454b39c,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,9aecb72a,88ba7911,3add7f0,cabee2ca,9c1efcb4,NA,NA,NA,NA,NA
NA,NA,NA,NA,fb91add1,98386532,ef5bf03d,30b6e04e,c7d688e3,652199c8,6ba1f200,NA,NA,NA,NA
NA,NA,NA,617900f2,ba413c,8d7bee00,bcf74a5b,becdb78a,23e72df8,a6986951,65ba8dce,4820ae83,NA,NA,NA
NA,NA,NA,e35604a7,c0133f30,5a2936b0,c3a3fdc8,dbd7e887,e0532913,d79b2b7a,7e4ecda8,31297557,NA,NA,NA
NA,NA,5620748c,33fce117,96c29b01,f95b5ce6,4f49ad3f,b89e7566,7cbe4eb3,dcb52722,99f4efc4,320612b3,414e267a,NA,NA
e3802f64,12e137a,3b64d7a6,3436bbfb,afd8c78d,ec4727ea,d9516d04,f6bc8158,2d64afda,b857386d,5820c528,a0f4a2ea,7bd38a67,d21fcc92,f571dc4e
