-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,3436bbfb,7bd38a67,23e72df8,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ef5bf03d,e3802f64,414e267a,99f4efc4,5a2936b0,NA,NA,NA,NA,NA
NA,NA,NA,NA,becdb78a,d9516d04,12e137a,a0f4a2ea,dbd7e887,9c1efcb4,a6986951,NA,NA,NA,NA
NA,NA,NA,f95b5ce6,afd8c78d,6454b39c,33fce117,c0133f30,d21fcc92,ec4727ea,652199c8,31297557,NA,NA,NA
NA,NA,NA,96c29b01,30b6e04e,17522381,8d7bee00,f6bc8158,320612b3,88ba7911,d79b2b7a,2d64afda,NA,NA,NA
NA,NA,ba413c,617900f2,4f49ad3f,e0532913,65ba8dce,9aecb72a,bcf74a5b,dcb52722,c3a3fdc8,5820c528,98386532,NA,NA
e35604a7,5620748c,fb91add1,ccb32b41,6ba1f200,7e4ecda8,b89e7566,c7d688e3,3b64d7a6,7cbe4eb3,cabee2ca,3add7f0,f571dc4e,b857386d,4820ae83
