-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,6b972a66,36276807,d6b9e67e,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,73be96aa,9540896c,1cc42551,70c3e5f7,d77d507c,NA,NA,NA,NA,NA
NA,NA,NA,NA,247f8614,3e5f44ef,ae4b57a4,c4bd8404,b5a23fc2,f80d31ba,1bd1fd9,NA,NA,NA,NA
NA,NA,NA,57c70d13,cf1b613c,ade4cca7,838fdeaf,8ba8c2ef,88765bba,d7acb3ea,f9143ab,6d99300b,NA,NA,NA
NA,NA,NA,d7d1307f,4914662f,25d329fd,9abdf3c0,1f5666b,ecbcf0f7,efabe909,3079362,a4d4e6a3,NA,NA,NA
NA,NA,7498d89f,f71d67fa,800c90a9,b0569bdd,6ca3d716,433b8b78,391efb6c,5cde70f7,44883dbd,f40cc7d1,4ce0bb39,NA,NA
4cf1ff3a,626c733a,f168d2f4,39da6751,23102ae3,4dc6f88a,bb9fbca,93b61a1e,b665c19f,fde1ccd2,3da2291a,f25ce0cc,ea752973,b26685ae,103333d
