-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,cabee2ca,8d7bee00,6ba1f200,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,dcb52722,3b64d7a6,617900f2,becdb78a,e3802f64,NA,NA,NA,NA,NA
NA,NA,NA,NA,a6986951,7bd38a67,4820ae83,dbd7e887,f95b5ce6,9aecb72a,31297557,NA,NA,NA,NA
NA,NA,NA,5620748c,7cbe4eb3,7e4ecda8,2d64afda,30b6e04e,17522381,fb91add1,33fce117,6454b39c,NA,NA,NA
NA,NA,NA,e0532913,3436bbfb,b857386d,f6bc8158,320612b3,c0133f30,5820c528,d21fcc92,65ba8dce,NA,NA,NA
NA,NA,9c1efcb4,ccb32b41,c3a3fdc8,e35604a7,afd8c78d,d9516d04,88ba7911,12e137a,b89e7566,4f49ad3f,a0f4a2ea,NA,NA
5a2936b0,99f4efc4,d79b2b7a,98386532,c7d688e3,ec4727ea,bcf74a5b,23e72df8,3add7f0,652199c8,ef5bf03d,96c29b01,ba413c,414e267a,f571dc4e
